verse	content
001	Ito namensan manin, nawe nge Jesus nga nakigimung iya gigimungan diya Hudyu.
001	Ket uwed isa nga lalaki antuni nga nacpet ya isa nga ima na.
002	Ket uwed da pe toley antuni nga agsicsiim no palaingen ne Jesus to lalaki iya Algew Ngilin, ta gabay da nga idarum nge Jesus.
003	Ket e Jesus, kinunen na met ito lalaki nga nacpet ya ima na nga, Umbet ka idi sangu mi, kunen na.
004	Ket kinunen na kadito agsicsiim, Nagan kad ya maipalubus iya Linteg tida nga wanglen tida kuma iya Algew Ngilin?
004	Ya panagwangel ka nabaru, winno ka dakec?
004	Ya panangisalakan ka biyag, winno ya pumatey?
004	kunen na.
004	Ngem madi da met negkim.
005	Ket limanga ngarud nge Jesus nga simingsingen igida nga silulucsew win.
005	Ket orey uwed lucsew na, nangisakit met pe igida gapu ta agmulinas da met.
005	Ket kinunen na ngarud ito lalaki yin, Ucnatem ya imam, kunen na.
005	Ket inucnat na ngarud to ima na, ket nalaingan mettin.
006	Ket dito Parisiyu, rinumwar dan, nga nagtarus da met nga nawe kadito toley nito Ari Herudes, tasun makiuman da no kumaan kuma niya panangpukaw da e Jesus.
007	Ket e Jesus se dito adalan na, pimanaw da nga nawe ito baybay ka Galilya ngin.
007	Ket adu met diya toltoley nga nibulubulun igida.
007	Adu da nga gayat iyan mettas nga prubinsiya nga Galilya, se uwed da pe gayat iya prubinsiya nga Hudya,
008	se iya siyudad nga Herusalem, se iya pagiliyan nga Idumeya, se kadiya il-ili iya demmang niya wangag Hordan, se diya lugar iya lebut diya siyudad nga Tiru se Sidun.
008	Adu da ngarud nga nawe iya edyan ne Jesus, gapu ta nadamag da met dito adu nga inar-ariman na.
009	Ket gapu iya kaadu niya toley, binilin ne Jesus diya adalan na nga mangisagana da ka bangka, tasun madi kuma mailet.
010	Ta adu ngamin diya pinalaing nan, itu nga agdidinnurun mettin diya uwed sarut na nga umadenni igina, tasun masecdeng da kuma.
011	Ket diya sairu nga lumuglugan ka toley iyan, no masingen da nge Jesus, pagparintumengngen da met da iya sangu na, se kunen da nga ipkaw, Ikew ya Anac ne Apu Diyus!
011	kunen da.
012	Ngem nainget ya panangbilin ne Jesus kadito sairu nga madi da mangipakaemmu maipanggep igina.
013	Kalpasan niyan, nanang-at nge Jesus ka tageytey.
013	Ket antuni, inayab na diya ginabay na nga piliyen, ket nawe da ngarud nakibulun igina.
014	Ket sangapulu ket duwa nga toley dito dinutukan na nga maibulbulun igina.
014	Itu diyan dito inawagan ne Jesus ka apustules, nga itu diya naibon nga mawe mangasaba,
015	ket se naecdan da pe ka turay nga mangpatalew ka sairu.
016	Ket itu didi dito sangapulu ket duwa nga apustules nga pinili na: E Simon nga pinanaganan na pe ka Pedru,
017	se e Santiyagu nga anac ne Sebedyu, se e Juan nga kabsat ne Santiyagu, nga itu dito agkabsat nga pinanaganan ne Jesus ka Buwanerges, nga kayat na nga kagiyen Anac Eddug.
018	Se pinili na pe de Andres, Pelipe, Bartulume, Matyu, Tumas, se e Santiyagu nga anac ne Alpiyu, e Tadyu, se e Simon nga maawagan ka Pasnec,
019	se to Hudas Iskariyute, nga itu to nangiyawat iya Apu.
020	Ket ito nagawir nge Jesusin, adu manin diya toley nga naguurnung iya edyan na.
020	Itu nga e Jesus se diya adalan na, madi da met masangu orey yas manganin.
021	Ket ito nadamag diya kabagiyan na yan, nawe da ngarud iya edyan ne Jesus, tasun alaken da kuma, ta kinagkagi met diya toltoley nga agel-ellut kanun.
022	Ket ito edyan ne Jesus, uwed da pe manursuru iya Linteg, nga naggayat ka Herusalem.
022	Ket didi nga manursuru, kinunen da maipanggep e Jesus, Linuganan met ne Beelsebub!
022	Dikad pe ya panangpatalew na ka sairu, ket gapu was met iya turay nga ecde niya pangulu diya sairu igina, kunen da.
023	Ket e Jesus, pinaadenni na dito manursuru, ket nagpangngarig igida nga kinunen na, No e Satanas, gabay na aya nga pagtalawen diya kabulun na mettas?
024	Bekken met!
024	Ta agten idi: No aggiginnura diya toley iya isa nga pagariyan, madi ngarud agpaut yan nga pagariyan.
025	Agten met pe diya kamkameng niya sangabalayan, ta no madi da makapagtutunus, madi ngarud met agpaut ya urnus da.
026	Ket iya agten iyan, no aggiginnura de Satanas, nga mabingabingay ya bungguy nan, ket madi ngarud agpaut ya panagturay nan, no di lugud agpatingga ngin.
027	Ngem agten idi ya kinapudnu na: No uwed mayat nga umuneg iya baley niya isa nga nabileg nga toley, tasun takawen na kuma diya alikamen na, masapul nga punguwen na met nga mona yan nga nabileg nga toley, se nad makatakew nga tutu ka gabay na nga alaken iyan nga baley.
028	Maemmuwan nu kuma ngarud nga mabalin nga mapakawan amin nga basul diya toley, agraman pe ya orey nagan na nga ikagi da nga dakec nga maikuntra ka sabali.
029	Ngem ya orey nagan na nga agkagi ka dakec nga maikuntra iya Ispiritu Santu, pulus nga madi mapakawan.
029	Ta yan nga basul na, maibilang nga basul nga madi mapakawan orey ka agnanayun, kunen na.
030	Ket agten iyan ngarud to kinunen ne Jesus, ta uwed ngamin duduma antuni nga agkunen nga, Uwed sairu na, kunen da.
031	Ket itun, inumbet ya ina se diya kakabsat ne Jesus nga lalaki.
031	Nagsisikad da iya ruwar nito baley, ket pinaayaban da ngarud nge Jesus.
032	Ket ito edyan ne Jesus iya uneg, adu met diya toley nga nakatugew iya lecbut na.
032	Ket kinunen da igina, Uwed ya inam se diya kakabsat mu iya ruwar.
032	Palbeten da ka, kunen da.
