verse	content
001	Iti saan a nabayag, sinuot ti Dios ni Abraham.
001	Kinunana, Abraham.
002	Adtoyak, Apo, insungbat ni Abraham.
003	Kinuna ti Dios, Alaem ni Isaac a kakaisuna ken dungdungoem nga anak, ket inka idiay Moria.
003	Iti bantay nga ipakitakto kenka, idatagmonto kaniak ni Isaac a kas daton a mapuoran.
004	Kabigatanna, nasapa nga insagana ni Abraham ti asnona.
004	Nangbalsig iti kayo a pagpuorna iti daton.
004	Kalpasanna, innalana ni Isaac ken ti dua nga adipenna ket napanda iti disso nga imbaga ti Dios.
005	Iti maikatlo nga aldaw, nakita ni Abraham iti adayo ti nasao a disso.
006	Kinunana kadagiti adipenna, Agbatikayo ditoy agraman dagiti asno.
006	Inkam agdaydayaw ken ni Isaac sadiay.
006	Agsublikaminto met laeng.
007	Impabaklay ni Abraham ken ni Isaac ti kayo a pangpuor iti daton.
007	Innalana ti imuko ken dagiti beggang a pagaron.
007	Idi magmagnada,
008	kinuna ni Isaac, Tatang.
009	Apay, anakko?
009	insungbat ni Abraham.
010	Sinaludsod ni Isaac, Makitak nga adda dagiti beggang ken kayo, ngem ayanna ti maidaton nga urbon a karnero?
011	Mangtedto ti Dios, anakko, insungbat ni Abraham.
012	Nagtuloy a nagna dagiti agama.
013	Idi dumtengda iti disso nga imbaga ti Dios kenkuana, nangbangon ni Abraham iti maysa nga altar.
013	Inurnosna dagiti kayo iti rabaw ti altar.
013	Rineppetna ni Isaac nga anakna sana imparabaw kadagiti kayo.
014	Innala ni Abraham ti imuko tapno patayenna ti ubing,
015	ngem nagpukkaw ti anghel ni Yahweh manipud langit, Abraham!
015	Abraham!
016	Adtoyak, Apo, insungbat ni Abraham.
017	Dimo sagiden wenno ranggasan ti ubing, kinuna ti anghel.
017	Makitakon nga agbutengka iti Dios, ta dika nagkedked a mangted kenkuana iti kakaisuna nga anakmo.
018	Inwaras ni Abraham ti panagkitana.
018	Adda nakitana a kalakian a karnero a naisalat ti sarana iti bassit a narukbos a kayo.
018	Napanna innala ti karnero ket daytoy ti pinuoranna a kas daton a sukat ti anakna.
019	Pinanaganan ni Abraham dayta a disso iti Ti Apo ti Mangted.
019	Agpapan ita, kunkuna pay laeng dagiti tattao, Iti bantay ti Apo , adda maited.
020	Manipud langit, nagsao manen ti anghel ni Yahweh.
020	Kinunana,
021	Siak, ni Yahweh, ti agsasao.
021	Yantangay ta dika nagkedked a mangted kaniak iti kakaisuna nga anakmo, isapatak iti naganko a bendisionankanto iti nawadwad.
022	Paaduekto dagiti kaputotam a kas iti kaadu dagiti bituen iti tangatang wenno dagiti darat iti igid ti baybay.
022	Parmekento dagiti kaputotam dagiti kabusorda.
023	Dawatento kaniak dagiti amin a nasion iti lubong a bendisionak ida a kas iti panangbendisionko kadagiti kaputotam.
023	Aramidekto daytoy gapu ta tinungpalmo ti bilinko.
024	Nagsubli ni Abraham iti ayan dagiti adipenna.
024	Nagkukuyogda a nagawid idiay Beerseba, a nangipasdekan ni Abraham iti pagnaedanna.
025	Iti saan a nabayag, nadamag ni Abraham a naaddaan ni Milca nga asawa ni Nahor a kabsatna kadagiti annak a lallaki.
026	Dagitoy dagiti lallaki nga annakna: Ni Uz ti inauna, sa ni Buz a kabsatna, ni Kemuel nga ama ni Aram,
027	da Kesed, Hazo, Pildas, Jidlaf ken Betuel.
028	Ni Betuel ti ama ni Rebecca.
028	Dagitoy walo ti annak da Milca ken Nahor a kabsat ni Abraham.
029	Ni Reuma a kamalala ni Nahor inyanakna da Teba, Gaham, Taaz ken Maaca.
