verse	content
001	Mao kini ang mga kaliwat ni Esau o Edom.
002	Nangasawa si Esau ug mga taga-Canaan.
002	Sila mao si Ada, ang anak ni Elon nga Hitihanon;
002	si Oholibama, ang anak ni Ana nga lalaking anak ni Sibeon nga Hibihanon;
003	ug si Basimat nga anak ni Ismael ug igsoon ni Nebaiot.
004	Ang anak ni Esau kang Ada mao si Elifas;
004	sa kang Basimat si Reuel;
005	sa kang Oholibama sila si Jeus, si Jalam ug si Korah.
005	Mao kini sila ang mga anak nga lalaki ni Esau didto sa Canaan.
006	Unya gidala ni Esau ang iyang mga asawa, mga anak ug tanang sakop sa iyang panimalay lakip ang iyang kahayopan ug tanan niyang kabtangan nga napanag-iya niya didto sa Canaan.
006	Ug mipahilayo siya sa iyang igsoon nga si Jacob ug miadto sa laing yuta.
007	Nagpahilayo siya kay ang yuta nga gipuy-an niya ug ni Jacob dili na man paigo nga sibsiban sa ilang kahayopan tungod sa kadaghan niini.
007	Dili na mahimo nga magtipon pa sila.
008	Busa si Esau didto na nagpuyo sa kabungtoran sa Seir ug si Esau mao si Edom.
009	Kini ang mga kaliwat ni Esau, ang amahan sa mga taga-Edomea sa kabungtoran sa Seir.
010	Ang mga ngalan sa mga anak nga lalaki ni Esau mao si Elifas nga anak ni Ada ug si Reuel nga anak ni Basimat.
011	Ang mga anak ni Elifas mao sila si Teman, Omar, Zefo, Gatam ug si Kenas.
012	Si Timna nga usa sa mga asawa ni Elifas nanganak kang Amalek.
012	Kini sila ang mga anak nga lalaki ni Ada nga asawa ni Esau.
013	Ang asawa ni Esau nga si Basimat nanganak ug batang lalaki nga si Reuel ug si Reuel may upat ka anak nga lalaki nga mao sila si Nahat, Zera, Sama ug si Miza.
014	Ang mga anak nga lalaki sa asawa ni Esau nga si Oholibama, anak ni Ana nga anak nga lalaki ni Sibeon, mao sila si Jeus, Jalam ug Korah.
015	Mao kini ang mga kaliwat ni Esau nga nangahimong mga pangulo sa mga banay didto sa yuta sa Edomea: si Teman, Omar, Zefo, Kenas,
016	Kora, Gatam ug si Amalek.
016	Sila mga anak ni Elifas, ang kinamagulangang anak ni Esau.
016	Kaliwat sila ni Ada nga asawa ni Esau.
017	Ang mosunod mao ang mga anak ni Reuel nga anak ni Esau kang Basimat.
017	Nangahimo usab silang mga pangulo: si Nahat, Zera, Sama ug si Miza.
017	Nagpuyo usab sila sa Edomea.
018	Ang mga anak ni Esau kang Oholibama nga nangahimong mga pangulo sa banay mao sila si Jeus, si Jalam ug si Kora.
018	Si Oholibama anak ni Ana.
019	Mao kini ang tanang mga kaliwat ni Esau o Edom nga nahimong mga pangulo.
020	Ang mosunod mao ang mga kaliwat ni Seir nga Horitihanon: si Lotan, Sobal, Sibeon, Ana,
021	Dison, Ezer ug si Disan.
021	Kini sila mao ang mga pangulo sa mga Horitihanon nga maoy unang namuyo sa yuta sa Edomea.
022	Ang mga anak ni Lotan mao sila si Hori ug si Heman.
022	Si Timna igsoong babaye ni Lotan.
023	Ang mosunod mao ang mga anak nga lalaki ni Sobal: si Alvan, si Manahat, si Ebal, si Sefo ug si Onam.
024	Ang mga anak nga lalaki ni Sibeon mao sila si Aia ug si Ana.
024	Mao kini ang Ana nga maoy nakakita sa init nga mga tubod didto sa dapit nga awaaw samtang nagpasibsib siya sa mga asno sa iyang amahan nga si Sibeon.
025	Ang mga anak ni Ana mao sila si Dison ug si Oholibama nga anak niyang babaye.
026	Sila si Hemdan, Esban, Itran ug si Seran mao ang mga anak nga lalaki ni Dison.
027	Ang mga anak nga lalaki ni Ezer mao sila si Bilhan, si Zaavan, ug si Acan.
028	Ang mga anak ni Disan mao sila si Uz ug si Aran.
029	Si Lotan, si Sobal, si Sibeon, si Ana,
030	si Dison, si Ezer ug si Disan mao ang mga pangulo sa mga banay sa mga Horitihanon didto sa yuta sa Seir.
031	Mao kini ang mga hari nga nagsunodsunod pagmando sa Edomea sa wala pay nahimong hari sa Israel.
031	Ang matag hari gipulihan human sa iyang kamatayon
032	Si Bela nga anak ni Beor nga taga-Dinhaba
033	Si Jobab nga anak ni Zera nga taga-Bozra
034	Si Husam nga taga-Teman
035	Si Hadad nga anak ni Bedad nga taga-Abit Si Bedad maoy nakapildi sa mga Midianhon sa usa ka gubat sa nasod sa Moab
036	Si Samla nga taga-Masreca
037	Si Shaul nga taga-Rehobot sa Eufrates
038	Si Baal Hanan nga anak ni Acbor
039	Si Hadad nga taga-Pau ang iyang asawa mao si Mehetabel, anak nga babaye ni Matred nga apo ni Mesahab.
040	Mao kini ang mga pangulo sa mga banay nga taga-Edomea nga kaliwat ni Esau: si Timna, si Alba, si Jetet,
041	si Oholibama, si Ela, si Pinon,
042	si Kenas, si Teman, si Mibzar,
043	si Magdiel ug si Iram.
043	Ang matag dapit nailhan sa ngalan sa banay nga nagpuyo niini.
