verse	content
001	Kaybat na nita, dimdam neng migsalitang Abram ing Ginu king kapamilatan na ning metung a vision.
001	Ngana, E ka tatakut Abram!
001	Aku ing kekang kambilan at maragul ing galal a ibie ku keka.
002	Oneng nganang Abram, O Ginung Dios , nanung ulaga na ning ibie mu kanaku?
002	Nung sakaling mate kung alang anak, i Eliezer a tau Damasco a pamahalan ku king pibalebale ku ya ing pamanan ku!
003	E mu ku pa dininan anak at ing pamanan ku metung ya karing ipus ku.
004	Kanita ngana ning Ginu , Aliwa i Eliezer; sarili meng anak ing maging talapagmana mu.
005	Tiki ne i Abram lual na ning tolda at ngana, Talanga ka at lumawe king banua at bilangan mu la ding batuin, nung arapat mu.
005	Makanyan la karakal ding maging lahi mu.
006	Migtiwala ya i Abram king Ginu , at uli na nita meging katanggap-tanggap ya king Ginu .
007	Kanita sinabi na, Abram, aku ing Ginu a kinangwa keka ibat Ur da ring Caldeo ban ibie keka iting gabun a iti bilang bandi mu.
008	Nganang mengutang Abram, O Ginung Dios , makananu kung abalung abandi ku iti?
009	Pekibat na ning Ginu , Pagdala mu kung metung a baka, metung a babaing kambing a atlung banua, at metung a lalaking tupa a atlu munamang banua, metung a batubatu, at metung a pitsun.
010	Dela na la deti king Ginu ; pemirasu na la at binili ne ing kabangal tulid na ning kabangal na.
010	E na la pemirasu ding ayup.
011	Digpan da lang ayup a buitre, oneng inabuang na lang Abram.
012	Inyang lalbug ne ing aldo, mipatudtud yang maniaman i Abram at detangan ne ning makapal at makatakut a dalumdum.
013	Ngana ning Ginu kang Abram, Tandanan mung masalese iti.
013	Manuknangan la ding maging lahi mu king metung a bansang e karela.
013	Gawan da lang ipus karin at pasakitan king bigsikan kilub ding apat a ralan a banua.
014	Oneng parusan ke itang bansang ita.
014	King katataulian, magdala lang dakal a pibandian ding maging lahi mu potang mako na la king bansang ita.
015	Ika naman akayabe mu la king kapayapan ding pipumpunan mu, at mate ka kaybat na ning masaya at makabang bie.
016	King kapat a lahi magbalik la keti ding lahi mu uling kanita pa mu maganap ing alang kayapan da ring Amoreo, at sukat lang parusan.
017	Inyang lumbug ne ing aldo at madalumdum na, linto ya ing metung a kalang a bubusuk at ing metung a milalablab a tukil pilatan da ring mepirasung animal.
018	Kanita ya mekipagkasundu ing Ginu kang Abram.
018	Ngana, Babie ke ing gabun a iti karing maging lahi mu, manibat king ilug ning Ehipto angga king maragul a Ilug ning Eufrates
019	at pati na ing gabun a tuknangan da ring Keniteo, Kenizeo, Kadmoneo,
020	Hiteo, Perezeo, Refaim,
021	Amoreo, Cananeo, Girgaseo, at Jebuseo.
