verse	content
001	Tinaynan na amin ya Israelita so kalakawan na Sin, tan nansosoblay so pasen a nanaayaman da onung ed ganggan na Katawan .
001	Nankampo ra ed Refidim, balet anggapod may danum a nainom na saray totoo.
002	Nanriklamo ra sirin ed kinen Moises tan kuanda, Itdan mo kamiy danum ya inomen.
003	Inmebat si Moises, Akin et manririklamo kayod siak?
003	Akin et susuboken yoy Katawan ?
004	Balet mapalaloy inkapgaan na saray totoo, kanyan intuloy day nanriklamo ed kinen Moises.
004	Inkuanda, Akin et impaway mo kamid Egipto?
004	Pian napatey mo kamid eras, sikami, saray anak mi, tan saray ayayep mi?
005	Masimoon a nampikasid Katawan si Moises tan kuanto, Anto kasiy nagawaan kod sarayan totoo?
005	Ngalngali da ak la tupaken.
006	Say Katawan kuantod kinen Moises, Mangitagar kay pigaran pangulo na Israel, tan onaan yon manakar iray totoo.
006	Awit mo may baston ya impamakbak mod Ilog na Nilo.
007	Manalagey ak ed arap mo diad tapew na sakey a baton-dampay ed palandey na Sinai.
007	Pekpek mo so baton-dampay, et ompaway diman so danum ya inomen na saray totoo.
007	Ginawa nen Moises imay imbaga na Katawan diad arapan na saramay pangulo na Israel.
008	Samay pasen et atawag na Masa tan Meriba, lapud nanriklamo ray Israelita tan sinubok day Katawan nen tinepet da, Walad sikatayo so Katawan odino andi?
009	Sinmabi ray Amalecita tan dinogpaan da ray Israelita diad Refidim.
010	Si Moises kuantod kinen Josue, Mamili ka na saray lalaki, ta onla ran mibakal nabwas ed saray Amalecita.
010	Manalagey ak ed tapew na pokdul a sankabembenan koy baston ya impaawit ed siak na Dios.
011	Inonur nen Josue so ganggan nen Moises ed sikato, kanyan linman mibakal ed saray Amalecita, balet linmad toktok na pokdul ira di Moises, Aaron, tan Hur.
012	Legan ya akatagey iray taklay nen Moises, manalo ray Israelita, balet no iyabeba to ra, onggapon manalo ray Amalecita.
013	Nen naksawan la ray taklay nen Moises, angala ra di Aaron tan Hur na bato tan niyorungan to legan a nanalagey irad diking to tan binembenan dan akaatagey iray taklay to ya anggad inselek na agew.
014	Diad onya si Josue sigput ton tinalo ray Amalecita.
015	Insan say Katawan kuantod kinen Moises, Isulat mo yan impanalo, pian ag nalingwanan.
015	Ibagam ed kinen Josue a sigput kon deralen iray Amalecita.
016	Amaalagey na altar si Moises tan tinawag to na Say Katawan so Bandirak.
017	Inkuanto, Iyatagey yoy bandira na Katawan !
017	Say Katawan ituloy toy mibakal a sumpad saray Amalecita ed ando lan ando!
